GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022301065,1610612765,DET,Detroit,1641787,Tosan Evbuomwan,Tosan,F,,33.000000:03,2.0,3.0,0.667,0.0,1.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,2.0,8.0,12.0
0022301065,1610612765,DET,Detroit,1631105,Jalen Duren,Jalen,C,,34.000000:41,9.0,11.0,0.818,0.0,0.0,0.0,2.0,2.0,1.0,5.0,12.0,17.0,1.0,3.0,3.0,3.0,4.0,20.0,18.0
0022301065,1610612765,DET,Detroit,1630595,Cade Cunningham,Cade,G,,36.000000:56,13.0,33.0,0.394,2.0,5.0,0.4,5.0,5.0,1.0,1.0,7.0,8.0,7.0,2.0,0.0,3.0,3.0,33.0,16.0
0022301065,1610612765,DET,Detroit,1631093,Jaden Ivey,Jaden,G,,37.000000:27,5.0,17.0,0.294,1.0,6.0,0.167,2.0,2.0,1.0,1.0,6.0,7.0,5.0,0.0,1.0,1.0,3.0,13.0,11.0
0022301065,1610612765,DET,Detroit,1629002,Chimezie Metu,Chimezie,,,26.000000:05,2.0,9.0,0.222,0.0,4.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,5.0,4.0
0022301065,1610612765,DET,Detroit,1630164,James Wiseman,James,,,13.000000:19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,-9.0
0022301065,1610612765,DET,Detroit,1630201,Malachi Flynn,Malachi,,,14.000000:02,1.0,3.0,0.333,0.0,2.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,-8.0
0022301065,1610612765,DET,Detroit,203095,Evan Fournier,Evan,,,25.000000:34,4.0,6.0,0.667,2.0,4.0,0.5,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,-1.0
0022301065,1610612765,DET,Detroit,1631205,Buddy Boeheim,Buddy,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022301065,1610612765,DET,Detroit,1631197,Jared Rhoden,Jared,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022301065,1610612765,DET,Detroit,1631204,Marcus Sasser,Marcus,,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0022301065,1610612765,DET,Detroit,1630649,Stanley Umude,Stanley,,DNP - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0022301065,1610612764,WAS,Washington,1630166,Deni Avdija,Deni,F,,38.000000:46,6.0,14.0,0.429,2.0,6.0,0.333,4.0,4.0,1.0,2.0,9.0,11.0,9.0,0.0,0.0,5.0,2.0,18.0,0.0
0022301065,1610612764,WAS,Washington,1628398,Kyle Kuzma,Kyle,F,,36.000000:37,5.0,22.0,0.227,0.0,6.0,0.0,2.0,4.0,0.5,0.0,8.0,8.0,3.0,0.0,1.0,5.0,1.0,12.0,-22.0
0022301065,1610612764,WAS,Washington,1628963,Marvin Bagley III,Marvin,C,,27.000000:09,7.0,9.0,0.778,1.0,1.0,1.0,0.0,0.0,0.0,3.0,8.0,11.0,1.0,0.0,2.0,0.0,1.0,15.0,-9.0
0022301065,1610612764,WAS,Washington,1630557,Corey Kispert,Corey,G,,37.000000:58,9.0,12.0,0.75,5.0,7.0,0.714,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,4.0,23.0,-12.0
0022301065,1610612764,WAS,Washington,1629673,Jordan Poole,Jordan,G,,37.000000:14,3.0,15.0,0.2,1.0,8.0,0.125,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,5.0,3.0,7.0,-12.0
0022301065,1610612764,WAS,Washington,1631098,Johnny Davis,Johnny,,,9.000000:59,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
0022301065,1610612764,WAS,Washington,1630264,Anthony Gill,Anthony,,,17.000000:51,3.0,8.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0
0022301065,1610612764,WAS,Washington,1630215,Jared Butler,Jared,,,20.000000:17,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,6.0,11.0
0022301065,1610612764,WAS,Washington,1641774,Tristan Vukcevic,Tristan,,,2.000000:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0022301065,1610612764,WAS,Washington,1631116,Patrick Baldwin Jr.,Patrick,,,7.000000:09,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-8.0
0022301065,1610612764,WAS,Washington,1631262,Jules Bernard,Jules,,,4.000000:36,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
0022301065,1610612764,WAS,Washington,1626145,Tyus Jones,Tyus,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0022301066,1610612741,CHI,Chicago,201942,DeMar DeRozan,DeMar,F,,36.000000:48,11.0,20.0,0.55,0.0,2.0,0.0,9.0,10.0,0.9,0.0,8.0,8.0,2.0,1.0,1.0,3.0,2.0,31.0,-2.0
0022301066,1610612741,CHI,Chicago,1627936,Alex Caruso,Alex,F,,32.000000:42,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,1.0,4.0,2.0,6.0,-26.0
0022301066,1610612741,CHI,Chicago,202696,Nikola Vucevic,Nikola,C,,29.000000:34,5.0,10.0,0.5,2.0,5.0,0.4,1.0,2.0,0.5,2.0,8.0,10.0,4.0,0.0,1.0,1.0,2.0,13.0,-21.0
